mkdir -p ./bin 
gcc mem_finder_mvt.c fm_index.c -o bin/mem_finder_mvt
gcc simple_BWT.c -o bin/simple_BWT
./data/DNA_BWT_FOR.txt already exists, skipping forward BWT generation.
./data/DNA_BWT_REV.txt already exists, skipping reverse BWT generation.
./bin/mem_finder_mvt ./data/DNA_BWT_FOR.txt ./data/DNA_BWT_REV.txt
MEM (start=1, end=12, len=11)
MEM (start=8959, end=8969, len=10)
MEM (start=8962, end=8972, len=10)
MEM (start=8965, end=8977, len=12)
MEM (start=8971, end=8981, len=10)
MEM (start=8985, end=8995, len=10)
MEM (start=8990, end=9008, len=18)
MEM (start=9010, end=9021, len=11)
MEM (start=9023, end=9040, len=17)
MEM (start=9035, end=9045, len=10)
MEM (start=9041, end=9052, len=11)
MEM (start=9054, end=9080, len=26)
MEM (start=9084, end=9094, len=10)
MEM (start=9088, end=9098, len=10)
MEM (start=9113, end=9123, len=10)
MEM (start=9137, end=9147, len=10)
MEM (start=9162, end=9178, len=16)
MEM (start=9189, end=9200, len=11)
MEM (start=9199, end=9209, len=10)
MEM (start=9202, end=9212, len=10)
MEM (start=9215, end=9229, len=14)
MEM (start=9232, end=9243, len=11)
MEM (start=9236, end=9246, len=10)
MEM (start=9272, end=9285, len=13)
MEM (start=9286, end=9325, len=39)
MEM (start=9342, end=9352, len=10)
MEM (start=9347, end=9357, len=10)
MEM (start=9349, end=9359, len=10)
MEM (start=9352, end=9365, len=13)
MEM (start=9364, end=9377, len=13)
MEM (start=9391, end=9402, len=11)
MEM (start=9406, end=9417, len=11)
MEM (start=9412, end=9439, len=27)
MEM (start=9440, end=9457, len=17)
MEM (start=9459, end=9469, len=10)
MEM (start=9463, end=9473, len=10)
MEM (start=9467, end=9480, len=13)
MEM (start=9479, end=9489, len=10)
MEM (start=9499, end=9509, len=10)
MEM (start=9506, end=9516, len=10)
MEM (start=9523, end=9534, len=11)
MEM (start=9527, end=9537, len=10)
MEM (start=9539, end=9550, len=11)
MEM (start=9576, end=9587, len=11)
MEM (start=9588, end=9598, len=10)
MEM (start=9600, end=9610, len=10)
MEM (start=9605, end=9616, len=11)
MEM (start=9614, end=9627, len=13)
MEM (start=9622, end=9632, len=10)
MEM (start=9623, end=9633, len=10)
MEM (start=9629, end=9639, len=10)
MEM (start=9644, end=9654, len=10)
MEM (start=9659, end=9675, len=16)
MEM (start=9672, end=9682, len=10)
MEM (start=9673, end=9683, len=10)
MEM (start=9678, end=9688, len=10)
MEM (start=9684, end=9694, len=10)
MEM (start=9692, end=9702, len=10)
MEM (start=9697, end=9717, len=20)
MEM (start=9724, end=9734, len=10)
MEM (start=9752, end=9763, len=11)
MEM (start=9754, end=9764, len=10)
MEM (start=9755, end=9765, len=10)
MEM (start=9758, end=9768, len=10)
MEM (start=9764, end=9774, len=10)
MEM (start=9773, end=9783, len=10)
MEM (start=9821, end=9831, len=10)
MEM (start=9822, end=9832, len=10)
MEM (start=9828, end=9851, len=23)
MEM (start=9843, end=9853, len=10)
MEM (start=9860, end=9870, len=10)
MEM (start=9888, end=9899, len=11)
MEM (start=9921, end=9931, len=10)
MEM (start=9945, end=9959, len=14)
MEM (start=9949, end=9961, len=12)
MEM (start=9953, end=9964, len=11)
MEM (start=9963, end=9973, len=10)
MEM (start=9986, end=9998, len=12)
MEM (start=9995, end=10005, len=10)
MEM (start=9998, end=10009, len=11)
